GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mssc-beer-service,guru.springframework.msscbeerservice.web.mappers,DateMapper,38,3,4,0,8,1,4,1,2,1
mssc-beer-service,guru.springframework.msscbeerservice.web.mappers,BeerMapperDecorator,24,11,0,0,5,5,3,3,3,3
mssc-beer-service,guru.springframework.msscbeerservice.web.mappers,BeerMapperImpl,0,3,0,0,0,1,0,1,0,1
mssc-beer-service,guru.springframework.msscbeerservice.web.mappers,BeerMapperImpl_,196,3,18,0,42,1,12,1,3,1
mssc-beer-service,guru.springframework.msscbeerservice.config,CacheConfig,0,3,0,0,0,1,0,1,0,1
mssc-beer-service,guru.springframework.msscbeerservice.domain,Beer,107,3,0,0,13,1,22,1,22,1
mssc-beer-service,guru.springframework.msscbeerservice.domain,Beer.BeerBuilder,99,0,0,0,1,0,13,0,13,0
mssc-beer-service,guru.springframework.msscbeerservice,MsscBeerServiceApplication,5,3,0,0,2,1,1,1,1,1
mssc-beer-service,guru.springframework.msscbeerservice.services,BeerServiceImpl,168,9,18,0,30,1,14,1,5,1
mssc-beer-service,guru.springframework.msscbeerservice.web.model,BeerDto,329,100,78,0,0,13,43,21,4,21
mssc-beer-service,guru.springframework.msscbeerservice.web.model,BeerDto.BeerDtoBuilder,45,45,0,0,0,1,6,6,6,6
mssc-beer-service,guru.springframework.msscbeerservice.web.model,BeerPagedList,19,0,0,0,6,0,3,0,3,0
mssc-beer-service,guru.springframework.msscbeerservice.web.model,BeerStyleEnum,0,104,0,0,0,2,0,1,0,1
mssc-beer-service,guru.springframework.msscbeerservice.services.inventory.model,BeerInventoryDto.BeerInventoryDtoBuilder,54,0,0,0,1,0,8,0,8,0
mssc-beer-service,guru.springframework.msscbeerservice.services.inventory.model,BeerInventoryDto,257,0,46,0,9,0,40,0,17,0
mssc-beer-service,guru.springframework.msscbeerservice.web.controller,BeerController,53,47,13,1,11,8,9,5,2,5
mssc-beer-service,guru.springframework.msscbeerservice.web.controller,NotFoundException,3,0,0,0,1,0,1,0,1,0
mssc-beer-service,guru.springframework.msscbeerservice.web.controller,MvcExceptionHandler,24,3,0,0,3,1,2,1,2,1
mssc-beer-service,guru.springframework.msscbeerservice.bootstrap,BeerLoader,95,0,2,0,34,0,5,0,4,0
mssc-beer-service,guru.springframework.msscbeerservice.services.inventory,BeerInventoryServiceRestTemplateImpl.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
mssc-beer-service,guru.springframework.msscbeerservice.services.inventory,BeerInventoryServiceRestTemplateImpl,35,18,0,0,8,7,1,3,1,3
